meso_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
128	1	3	1	True
129	1	2	1	True
130	1	1	1	True
131	1	3	1	True
132	1	2	1	True
133	1	3	1	True
134	1	1	1	True
135	1	2	1	True
136	1	2	0.5	True
136	2	4	0.5	False
137	1	5	1	True
138	1	5	1	True
139	1	3	1	True
140	1	2	1	True
141	1	5	1	True
142	1	2	1	True
143	1	2	1	True
144	1	3	1	True
145	1	1	0.5	True
145	2	4	0.5	False
146	1	1	1	True
147	1	3	1	True
148	1	2	1	True
149	1	5	1	True
150	1	3	1	True
151	1	1	0.5	True
151	2	2	0.5	False
152	1	2	1	True
153	1	2	1	True
154	1	2	1	True
155	1	3	1	True
156	1	2	1	True
157	1	2	1	True
158	1	3	0.5	True
158	2	4	0.5	False
159	1	3	0.5	True
159	2	5	0.5	False
160	1	1	1	True
161	1	3	0.5	True
161	2	2	0.5	False
162	1	5	0.5	True
162	2	3	0.5	False
163	1	2	1	True
164	1	1	1	True
165	1	2	1	True
166	1	2	1	True
167	1	2	0.5	True
167	2	1	0.5	False
168	1	2	1	True
169	1	2	1	True
170	1	5	1	True
171	1	3	1	True
172	1	4	0.5	True
172	2	5	0.5	False
173	1	2	1	True
174	1	2	0.5	True
174	2	4	0.5	False
175	1	3	1	True
176	1	2	1	True
177	1	3	1	True
178	1	1	1	True
179	1	1	1	True
180	1	5	1	True
181	1	1	1	True
182	1	1	1	True
183	1	2	1	True
184	1	1	1	True
185	1	2	0.5	True
185	2	3	0.5	False
186	1	3	1	True
187	1	2	0.5	True
187	2	1	0.5	False
188	1	2	1	True
189	1	1	0.5	True
189	2	2	0.5	False
190	1	4	0.5	True
190	2	2	0.5	False
191	1	3	0.5	True
191	2	2	0.5	False
192	1	1	1	True
193	1	1	1	True
194	1	3	0.5	True
194	2	5	0.5	False
195	1	5	1	True
196	1	5	0.5	True
196	2	3	0.5	False
197	1	2	1	True
198	1	5	1	True
199	1	4	0.5	True
199	2	3	0.5	False
200	1	2	0.5	True
200	2	1	0.5	False
201	1	2	1	True
202	1	3	1	True
203	1	2	1	True
204	1	2	1	True
205	1	3	1	True
206	1	2	1	True
207	1	2	1	True
208	1	1	1	True
209	1	3	1	True
210	1	2	0.5	True
210	2	1	0.5	False
211	1	1	1	True
212	1	3	0.5	True
212	2	4	0.5	False
213	1	2	1	True
214	1	5	1	True
215	1	3	0.5	True
215	2	4	0.5	False
216	1	2	1	True
217	1	2	1	True
218	1	5	1	True
219	1	1	1	True
220	1	5	1	True
221	1	1	1	True
222	1	5	0.5	True
222	2	3	0.5	False
223	1	1	1	True
224	1	2	1	True
225	1	4	0.5	True
225	2	3	0.5	False
226	1	3	1	True
227	1	2	1	True
228	1	1	1	True
229	1	2	0.5	True
229	2	1	0.5	False
230	1	5	0.5	True
230	2	4	0.5	False
231	1	3	1	True
232	1	2	1	True
233	1	3	1	True
234	1	2	1	True
235	1	5	0.5	True
235	2	3	0.5	False
236	1	5	1	True
237	1	5	1	True
238	1	2	1	True
239	1	1	1	True
240	1	1	1	True
241	1	4	1	True
242	1	2	1	True
243	1	2	1	True
244	1	5	1	True
245	1	3	0.5	True
245	2	5	0.5	False
246	1	2	1	True
247	1	1	1	True
248	1	2	0.5	True
248	2	4	0.5	False
249	1	3	1	True
250	1	3	1	True
251	1	2	1	True
252	1	4	1	True
253	1	3	1	True
254	1	5	1	True
255	1	1	1	True
256	1	4	0.5	True
256	2	1	0.5	False
257	1	2	0.5	True
257	2	3	0.5	False
258	1	2	1	True
259	1	1	0.5	True
259	2	5	0.5	False
260	1	3	1	True
261	1	5	1	True
262	1	2	0.5	True
262	2	3	0.5	False
263	1	2	1	True
264	1	1	1	True
265	1	2	1	True
266	1	2	1	True
267	1	3	1	True
268	1	1	1	True
269	1	3	1	True
270	1	1	1	True
271	1	3	1	True
272	1	2	1	True
273	1	2	1	True
274	1	2	1	True
275	1	3	1	True
276	1	2	0.5	True
276	2	1	0.5	False
277	1	2	0.5	True
277	2	5	0.5	False
278	1	5	1	True
279	1	2	1	True
280	1	2	1	True
281	1	5	0.5	True
281	2	1	0.5	False
282	1	1	1	True
283	1	2	1	True
284	1	3	0.5	True
284	2	4	0.5	False
285	1	2	1	True
286	1	3	0.5	True
286	2	4	0.5	False
287	1	1	1	True
288	1	5	0.5	True
288	2	3	0.5	False
289	1	1	0.5	True
289	2	5	0.5	False
290	1	2	1	True
291	1	3	1	True
292	1	3	0.5	True
292	2	4	0.5	False
293	1	2	1	True
294	1	4	1	True
295	1	4	0.5	True
295	2	1	0.5	False
296	1	3	1	True
297	1	4	1	True
298	1	4	1	True
299	1	2	0.5	True
299	2	3	0.5	False
300	1	2	1	True
301	1	2	1	True
302	1	2	1	True
303	1	2	0.5	True
303	2	1	0.5	False
304	1	2	1	True
305	1	3	1	True
306	1	2	1	True
307	1	3	1	True
308	1	3	1	True
309	1	3	0.5	True
309	2	5	0.5	False
310	1	3	1	True
311	1	2	1	True
312	1	5	0.5	True
312	2	3	0.5	False
313	1	2	0.5	True
313	2	1	0.5	False
314	1	3	1	True
315	1	2	1	True
316	1	2	1	True
317	1	3	0.5	True
317	2	5	0.5	False
318	1	1	1	True
319	1	1	1	True
320	1	3	0.5	True
320	2	4	0.5	False
321	1	3	0.5	True
321	2	2	0.5	False
322	1	3	0.5	True
322	2	5	0.5	False
323	1	4	1	True
324	1	2	1	True
325	1	2	1	True
326	1	3	1	True
327	1	5	1	True
328	1	4	0.5	True
328	2	3	0.5	False
329	1	2	1	True
330	1	2	1	True
331	1	1	1	True
332	1	3	0.5	True
332	2	2	0.5	False
333	1	2	1	True
334	1	2	1	True
335	1	4	1	True
336	1	3	0.5	True
336	2	5	0.5	False
337	1	5	1	True
338	1	2	1	True
339	1	2	0.5	True
339	2	3	0.5	False
340	1	4	1	True
341	1	2	1	True
342	1	1	0.5	True
342	2	2	0.5	False
343	1	2	1	True
344	1	5	1	True
345	1	2	1	True
346	1	3	1	True
347	1	2	1	True
348	1	4	1	True
349	1	5	1	True
350	1	1	1	True
351	1	2	1	True
352	1	2	1	True
353	1	3	1	True
354	1	1	0.5	True
354	2	2	0.5	False
355	1	3	1	True
356	1	3	1	True
357	1	2	1	True
358	1	2	1	True
359	1	4	1	True
360	1	1	1	True
361	1	2	1	True
362	1	1	1	True
363	1	2	1	True
364	1	1	1	True
365	1	2	1	True
366	1	4	1	True
367	1	5	0.3333333333333333	True
367	2	2	0.3333333333333333	False
367	3	3	0.3333333333333333	False
368	1	1	1	True
369	1	1	1	True
370	1	3	1	True
371	1	1	1	True
372	1	2	0.5	True
372	2	3	0.5	False
373	1	5	0.3333333333333333	True
373	2	1	0.3333333333333333	False
373	3	3	0.3333333333333333	False
374	1	2	1	True
375	1	2	0.5	True
375	2	5	0.5	False
376	1	1	1	True
377	1	1	1	True
378	1	2	1	True
379	1	2	1	True
380	1	3	1	True
381	1	3	1	True
382	1	1	1	True
383	1	1	0.5	True
383	2	2	0.5	False
384	1	3	1	True
385	1	2	0.5	True
385	2	5	0.5	False
386	1	5	1	True
387	1	2	1	True
388	1	2	0.5	True
388	2	3	0.5	False
389	1	3	1	True
390	1	5	0.5	True
390	2	1	0.5	False
391	1	4	0.3333333333333333	True
391	2	5	0.3333333333333333	False
391	3	3	0.3333333333333333	False
392	1	2	1	True
393	1	4	1	True
394	1	5	1	True
395	1	2	1	True
396	1	2	1	True
397	1	2	1	True
398	1	5	0.5	True
398	2	3	0.5	False
399	1	1	1	True
400	1	2	0.5	True
400	2	1	0.5	False
401	1	3	0.5	True
401	2	5	0.5	False
402	1	1	1	True
403	1	2	1	True
404	1	4	1	True
405	1	2	1	True
406	1	2	1	True
407	1	2	1	True
408	1	2	1	True
409	1	4	1	True
410	1	2	1	True
411	1	1	1	True
412	1	2	1	True
413	1	1	1	True
414	1	3	0.5	True
414	2	5	0.5	False
415	1	4	1	True
416	1	1	1	True
417	1	4	0.5	True
417	2	5	0.5	False
418	1	2	1	True
419	1	5	0.5	True
419	2	3	0.5	False
420	1	5	1	True
421	1	2	1	True
422	1	2	1	True
423	1	3	1	True
424	1	3	0.5	True
424	2	5	0.5	False
425	1	5	1	True
426	1	2	1	True
427	1	2	1	True
428	1	5	1	True
429	1	2	1	True
430	1	1	1	True
431	1	3	1	True
432	1	3	1	True
433	1	4	1	True
434	1	3	0.5	True
434	2	5	0.5	False
435	1	5	1	True
436	1	3	1	True
437	1	3	1	True
438	1	3	1	True
439	1	2	1	True
440	1	2	1	True
441	1	1	0.5	True
441	2	5	0.5	False
442	1	2	1	True
443	1	4	1	True
444	1	3	0.5	True
444	2	2	0.5	False
445	1	2	1	True
446	1	1	1	True
447	1	1	1	True
448	1	3	0.5	True
448	2	2	0.5	False
449	1	1	1	True
450	1	1	1	True
451	1	2	1	True
452	1	3	0.5	True
452	2	4	0.5	False
453	1	5	1	True
454	1	1	1	True
455	1	5	1	True
456	1	2	1	True
457	1	3	1	True
458	1	2	0.5	True
458	2	1	0.5	False
459	1	3	0.5	True
459	2	5	0.5	False
460	1	3	0.5	True
460	2	5	0.5	False
461	1	2	0.5	True
461	2	1	0.5	False
462	1	2	1	True
463	1	5	0.5	True
463	2	1	0.5	False
464	1	5	1	True
465	1	2	1	True
466	1	2	0.5	True
466	2	1	0.5	False
467	1	2	1	True
468	1	2	1	True
469	1	1	1	True
470	1	2	1	True
471	1	2	1	True
472	1	5	1	True
473	1	2	1	True
474	1	5	1	True
475	1	2	1	True
476	1	2	1	True
477	1	4	0.5	True
477	2	2	0.5	False
478	1	5	0.5	True
478	2	1	0.5	False
479	1	2	1	True
480	1	3	0.5	True
480	2	5	0.5	False
481	1	1	0.5	True
481	2	5	0.5	False
482	1	1	1	True
483	1	5	1	True
484	1	5	0.5	True
484	2	1	0.5	False
485	1	3	0.5	True
485	2	2	0.5	False
486	1	2	1	True
487	1	2	1	True
488	1	2	0.5	True
488	2	4	0.5	False
489	1	5	1	True
490	1	1	1	True
491	1	1	1	True
492	1	3	0.5	True
492	2	5	0.5	False
493	1	2	1	True
494	1	1	1	True
495	1	2	1	True
496	1	2	1	True
497	1	1	0.5	True
497	2	5	0.5	False
498	1	3	0.5	True
498	2	4	0.5	False
499	1	3	1	True
500	1	3	0.5	True
500	2	2	0.5	False
501	1	2	0.5	True
501	2	1	0.5	False
502	1	1	1	True
503	1	2	1	True
504	1	3	0.5	True
504	2	5	0.5	False
505	1	4	1	True
506	1	3	0.5	True
506	2	4	0.5	False
507	1	2	0.5	True
507	2	1	0.5	False
508	1	1	1	True
509	1	2	1	True
510	1	2	0.5	True
510	2	4	0.5	False
511	1	1	0.5	True
511	2	5	0.5	False
512	1	4	0.5	True
512	2	5	0.5	False
513	1	1	1	True
514	1	2	1	True
515	1	4	1	True
516	1	3	1	True
517	1	1	1	True
518	1	2	1	True
519	1	2	1	True
520	1	1	1	True
521	1	3	1	True
522	1	2	1	True
523	1	2	1	True
524	1	5	1	True
525	1	1	1	True
526	1	1	1	True
527	1	1	1	True
528	1	3	0.5	True
528	2	2	0.5	False
529	1	3	1	True
530	1	2	1	True
531	1	2	1	True
532	1	3	1	True
533	1	5	1	True
534	1	2	1	True
535	1	2	1	True
536	1	2	1	True
537	1	2	1	True
538	1	1	1	True
539	1	3	1	True
540	1	5	0.5	True
540	2	3	0.5	False
541	1	2	1	True
542	1	2	0.5	True
542	2	4	0.5	False
543	1	2	1	True
544	1	2	1	True
545	1	1	0.5	True
545	2	5	0.5	False
546	1	4	1	True
547	1	3	1	True
548	1	5	0.5	True
548	2	3	0.5	False
549	1	3	0.5	True
549	2	4	0.5	False
550	1	1	1	True
551	1	5	0.5	True
551	2	4	0.5	False
552	1	5	1	True
553	1	3	0.5	True
553	2	5	0.5	False
554	1	3	1	True
555	1	2	1	True
556	1	5	0.5	True
556	2	1	0.5	False
557	1	5	0.5	True
557	2	1	0.5	False
558	1	3	1	True
559	1	2	0.5	True
559	2	4	0.5	False
560	1	3	0.5	True
560	2	5	0.5	False
561	1	2	1	True
562	1	2	1	True
563	1	4	0.5	True
563	2	3	0.5	False
564	1	2	1	True
565	1	2	1	True
566	1	3	1	True
567	1	1	1	True
568	1	2	1	True
569	1	4	1	True
570	1	5	0.5	True
570	2	2	0.5	False
571	1	1	1	True
572	1	2	1	True
573	1	1	1	True
574	1	2	0.5	True
574	2	1	0.5	False
575	1	1	1	True
576	1	2	1	True
577	1	2	1	True
578	1	3	0.5	True
578	2	5	0.5	False
579	1	1	1	True
580	1	1	1	True
581	1	2	1	True
582	1	4	1	True
583	1	2	1	True
584	1	5	1	True
585	1	3	1	True
586	1	1	1	True
587	1	2	1	True
588	1	5	0.5	True
588	2	1	0.5	False
589	1	1	1	True
590	1	1	1	True
591	1	2	0.5	True
591	2	1	0.5	False
592	1	2	1	True
593	1	1	0.5	True
593	2	4	0.5	False
594	1	5	1	True
595	1	4	1	True
596	1	2	1	True
597	1	2	1	True
598	1	5	1	True
599	1	3	0.5	True
599	2	4	0.5	False
600	1	1	1	True
601	1	5	0.5	True
601	2	3	0.5	False
602	1	3	0.5	True
602	2	4	0.5	False
603	1	5	1	True
604	1	1	0.5	True
604	2	5	0.5	False
605	1	1	1	True
606	1	2	1	True
607	1	5	0.5	True
607	2	1	0.5	False
608	1	1	1	True
609	1	1	1	True
610	1	1	1	True
611	1	4	1	True
612	1	2	0.5	True
612	2	1	0.5	False
613	1	1	1	True
614	1	2	1	True
615	1	2	1	True
616	1	1	0.5	True
616	2	2	0.5	False
617	1	2	1	True
618	1	5	0.5	True
618	2	1	0.5	False
619	1	1	1	True
620	1	2	0.5	True
620	2	1	0.5	False
621	1	1	1	True
622	1	5	1	True
623	1	5	1	True
624	1	1	1	True
625	1	4	1	True
626	1	2	1	True
627	1	2	1	True
628	1	2	1	True
629	1	3	1	True
630	1	5	0.5	True
630	2	3	0.5	False
631	1	2	0.5	True
631	2	3	0.5	False
632	1	1	1	True
633	1	1	1	True
634	1	5	1	True
635	1	2	1	True
636	1	3	1	True
637	1	2	1	True
638	1	3	1	True
639	1	5	1	True
640	1	1	1	True
641	1	2	1	True
642	1	3	1	True
643	1	1	0.5	True
643	2	5	0.5	False
644	1	3	1	True
645	1	4	1	True
646	1	1	1	True
647	1	2	1	True
648	1	1	1	True
649	1	1	0.5	True
649	2	2	0.5	False
650	1	2	0.5	True
650	2	1	0.5	False
651	1	4	0.5	True
651	2	1	0.5	False
652	1	2	1	True
653	1	2	1	True
654	1	4	1	True
655	1	5	1	True
656	1	3	1	True
657	1	2	1	True
658	1	4	0.5	True
658	2	1	0.5	False
659	1	1	1	True
660	1	5	0.5	True
660	2	1	0.5	False
661	1	3	0.5	True
661	2	4	0.5	False
662	1	1	1	True
663	1	2	0.5	True
663	2	3	0.5	False
664	1	5	1	True
665	1	1	1	True
666	1	3	1	True
667	1	5	1	True
668	1	3	0.5	True
668	2	4	0.5	False
669	1	2	1	True
670	1	1	1	True
671	1	1	1	True
672	1	1	1	True
673	1	2	1	True
674	1	3	1	True
675	1	1	1	True
676	1	1	1	True
677	1	2	1	True
678	1	3	1	True
679	1	5	0.5	True
679	2	3	0.5	False
680	1	3	1	True
681	1	2	0.5	True
681	2	1	0.5	False
682	1	1	0.5	True
682	2	2	0.5	False
683	1	2	0.5	True
683	2	1	0.5	False
684	1	2	0.5	True
684	2	4	0.5	False
685	1	3	1	True
686	1	4	1	True
687	1	3	1	True
688	1	1	1	True
689	1	2	1	True
690	1	1	1	True
691	1	2	1	True
692	1	2	1	True
693	1	1	1	True
694	1	3	1	True
695	1	1	1	True
696	1	1	1	True
697	1	2	1	True
698	1	2	1	True
699	1	4	1	True
700	1	1	0.5	True
700	2	5	0.5	False
701	1	1	1	True
702	1	1	1	True
703	1	1	1	True
704	1	3	1	True
705	1	1	0.5	True
705	2	5	0.5	False
706	1	3	1	True
707	1	4	1	True
708	1	2	1	True
709	1	1	1	True
710	1	5	0.5	True
710	2	3	0.5	False
711	1	1	1	True
712	1	3	1	True
713	1	3	1	True
714	1	2	1	True
715	1	2	1	True
716	1	3	0.5	True
716	2	4	0.5	False
717	1	4	0.5	True
717	2	2	0.5	False
718	1	1	1	True
719	1	1	1	True
720	1	2	1	True
721	1	1	1	True
722	1	5	0.5	True
722	2	4	0.5	False
723	1	2	0.5	True
723	2	3	0.5	False
724	1	1	1	True
725	1	1	1	True
726	1	1	1	True
727	1	1	0.5	True
727	2	3	0.5	False
728	1	1	1	True
729	1	2	0.5	True
729	2	1	0.5	False
730	1	2	1	True
731	1	2	1	True
732	1	2	1	True
733	1	1	1	True
734	1	3	1	True
735	1	2	1	True
736	1	1	1	True
737	1	3	1	True
738	1	3	0.5	True
738	2	5	0.5	False
739	1	1	1	True
740	1	1	1	True
741	1	3	0.5	True
741	2	1	0.5	False
742	1	2	1	True
743	1	1	1	True
744	1	2	0.3333333333333333	True
744	2	1	0.3333333333333333	False
744	3	3	0.3333333333333333	False
745	1	1	1	True
746	1	4	1	True
747	1	3	1	True
748	1	3	1	True
749	1	3	1	True
750	1	2	1	True
751	1	2	1	True
752	1	5	1	True
753	1	3	0.5	True
753	2	5	0.5	False
754	1	1	1	True
755	1	2	1	True
756	1	1	1	True
757	1	1	0.5	True
757	2	2	0.5	False
758	1	1	1	True
759	1	2	1	True
760	1	1	0.5	True
760	2	4	0.5	False
761	1	2	0.5	True
761	2	4	0.5	False
762	1	2	1	True
763	1	1	0.5	True
763	2	5	0.5	False
764	1	3	1	True
765	1	1	1	True
766	1	1	1	True
767	1	3	1	True
768	1	1	0.5	True
768	2	3	0.5	False
769	1	1	0.5	True
769	2	4	0.5	False
770	1	1	1	True
771	1	4	1	True
772	1	1	1	True
773	1	1	1	True
774	1	2	1	True
775	1	2	1	True
776	1	1	1	True
777	1	5	0.5	True
777	2	3	0.5	False
778	1	2	1	True
779	1	3	1	True
780	1	4	0.5	True
780	2	1	0.5	False
781	1	1	0.5	True
781	2	2	0.5	False
782	1	1	0.5	True
782	2	5	0.5	False
783	1	2	1	True
784	1	3	1	True
785	1	1	1	True
786	1	5	0.5	True
786	2	3	0.5	False
787	1	1	1	True
788	1	5	1	True
789	1	5	1	True
790	1	3	1	True
791	1	2	1	True
792	1	1	1	True
793	1	1	1	True
794	1	2	0.5	True
794	2	4	0.5	False
795	1	4	1	True
796	1	2	1	True
797	1	1	1	True
798	1	1	1	True
799	1	2	0.5	True
799	2	1	0.5	False
800	1	2	1	True
801	1	2	1	True
802	1	1	1	True
803	1	1	1	True
804	1	4	1	True
805	1	2	1	True
806	1	1	1	True
807	1	1	1	True
808	1	3	1	True
809	1	1	1	True
810	1	1	1	True
811	1	1	1	True
812	1	1	0.5	True
812	2	2	0.5	False
813	1	3	1	True
814	1	2	0.5	True
814	2	3	0.5	False
815	1	1	1	True
816	1	3	1	True
817	1	1	1	True
818	1	3	0.5	True
818	2	5	0.5	False
819	1	2	1	True
820	1	2	1	True
821	1	4	0.5	True
821	2	2	0.5	False
822	1	1	1	True
823	1	1	0.5	True
823	2	2	0.5	False
824	1	1	1	True
825	1	1	1	True
826	1	2	1	True
827	1	1	1	True
828	1	3	0.5	True
828	2	5	0.5	False
829	1	1	1	True
830	1	1	1	True
831	1	2	1	True
832	1	1	1	True
833	1	1	1	True
834	1	1	1	True
835	1	1	1	True
836	1	1	1	True
837	1	3	0.5	True
837	2	5	0.5	False
838	1	1	1	True
839	1	5	1	True
840	1	1	1	True
841	1	1	1	True
842	1	1	1	True
843	1	1	1	True
844	1	1	1	True
845	1	2	0.5	True
845	2	4	0.5	False
846	1	5	1	True
847	1	2	1	True
848	1	1	1	True
849	1	1	0.5	True
849	2	2	0.5	False
850	1	3	0.5	True
850	2	2	0.5	False
851	1	1	1	True
852	1	1	1	True
853	1	2	1	True
854	1	1	1	True
855	1	3	0.5	True
855	2	5	0.5	False
856	1	1	1	True
857	1	3	0.3333333333333333	True
857	2	1	0.3333333333333333	False
857	3	2	0.3333333333333333	False
858	1	5	1	True
859	1	2	0.5	True
859	2	1	0.5	False
860	1	1	1	True
861	1	2	1	True
862	1	4	0.5	True
862	2	3	0.5	False
863	1	2	1	True
864	1	1	1	True
865	1	1	1	True
866	1	4	1	True
867	1	2	1	True
868	1	1	1	True
869	1	5	1	True
870	1	2	1	True
871	1	4	1	True
872	1	1	1	True
873	1	2	1	True
874	1	2	0.5	True
874	2	1	0.5	False
875	1	2	1	True
876	1	3	0.5	True
876	2	5	0.5	False
877	1	4	0.5	True
877	2	1	0.5	False
878	1	3	1	True
879	1	1	0.5	True
879	2	5	0.5	False
880	1	3	1	True
881	1	2	1	True
882	1	2	1	True
883	1	2	1	True
884	1	1	1	True
885	1	1	1	True
886	1	2	1	True
887	1	2	1	True
888	1	1	1	True
889	1	2	1	True
890	1	1	1	True
891	1	3	1	True
892	1	5	0.5	True
892	2	1	0.5	False
893	1	1	1	True
894	1	5	0.5	True
894	2	1	0.5	False
895	1	4	0.5	True
895	2	1	0.5	False
896	1	4	0.5	True
896	2	2	0.5	False
897	1	1	1	True
898	1	4	0.5	True
898	2	1	0.5	False
899	1	3	1	True
900	1	4	1	True
901	1	1	1	True
902	1	2	0.5	True
902	2	4	0.5	False
903	1	4	0.5	True
903	2	2	0.5	False
904	1	1	1	True
905	1	2	1	True
906	1	1	1	True
907	1	1	0.5	True
907	2	5	0.5	False
908	1	4	1	True
909	1	1	1	True
910	1	1	1	True
911	1	1	1	True
912	1	4	1	True
913	1	3	0.5	True
913	2	5	0.5	False
914	1	1	1	True
915	1	1	1	True
916	1	4	0.5	True
916	2	1	0.5	False
917	1	1	1	True
